TradeID,EntryTime,OptionType,Delta,ShortStrike,LongStrike,Width,Premium,ProfitTarget,ProfitDateTime,ProfitPrice,StopLossDateTime,StopLossTarget,StopLossPrice,IsWin,Outcome,ProfitLoss,ProfitLossAfterSlippage,CommissionFees,Slippage,LossMultiple,TradesToday
5051341,1/4/2023 10:45:00 AM,P,0.00,3795.00,3750.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,0
5051913,1/4/2023 11:00:00 AM,P,0.00,3800.00,3755.00,45.00,2.40,P100,,,,1x,,True,Expiration,2.40,2.35,1.65,0.05,0,0
5052201,1/4/2023 11:15:00 AM,P,0.00,3810.00,3765.00,45.00,2.70,P100,,,,1x,,True,Expiration,2.70,2.65,1.65,0.05,0,0
5052777,1/4/2023 11:30:00 AM,P,0.00,3810.00,3765.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5053177,1/4/2023 11:45:00 AM,P,0.00,3825.00,3780.00,45.00,2.30,P100,,,1/4/2023 2:03:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5053597,1/4/2023 12:00:00 PM,P,0.00,3830.00,3785.00,45.00,2.50,P100,,,1/4/2023 1:02:00 PM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,0
5043181,1/4/2023 12:15:00 PM,C,0.00,3900.00,3945.00,45.00,2.35,P100,,,,1x,,True,Expiration,2.35,2.30,1.65,0.05,0,0
5043785,1/4/2023 12:30:00 PM,C,0.00,3900.00,3955.00,55.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5055041,1/4/2023 12:45:00 PM,P,0.00,3830.00,3785.00,45.00,2.35,P100,,,1/4/2023 1:01:00 PM,1x,4.70,False,Stop Loss,-2.35,-2.55,3.30,0.20,1.1,0
5044581,1/4/2023 1:00:00 PM,C,0.00,3890.00,3935.00,45.00,2.40,P100,,,,1x,,True,Expiration,2.40,2.35,1.65,0.05,0,0
5045169,1/4/2023 1:15:00 PM,C,0.00,3890.00,3935.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5056645,1/4/2023 1:30:00 PM,P,0.00,3825.00,3780.00,45.00,2.35,P100,,,1/4/2023 2:03:00 PM,1x,4.70,False,Stop Loss,-2.35,-2.55,3.30,0.20,1.1,0
5057145,1/4/2023 1:45:00 PM,P,0.00,3825.00,3775.00,50.00,2.30,P100,,,1/4/2023 2:03:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5046281,1/4/2023 2:00:00 PM,C,0.00,3890.00,3935.00,45.00,2.95,P100,,,,1x,,True,Expiration,2.95,2.90,1.65,0.05,0,0
5046721,1/4/2023 2:15:00 PM,C,0.00,3870.00,3915.00,45.00,2.45,P100,,,,1x,,True,Expiration,2.45,2.40,1.65,0.05,0,0
5047277,1/4/2023 2:30:00 PM,C,0.00,3845.00,3890.00,45.00,2.75,P100,,,1/4/2023 2:41:00 PM,1x,5.50,False,Stop Loss,-2.75,-2.95,3.30,0.20,1.1,0
5047445,1/4/2023 2:45:00 PM,C,0.00,3850.00,3895.00,45.00,2.55,P100,,,1/4/2023 2:56:00 PM,1x,5.10,False,Stop Loss,-2.55,-2.75,3.30,0.20,1.1,0
5059561,1/4/2023 3:00:00 PM,P,0.00,3835.00,3790.00,45.00,2.50,P100,,,1/4/2023 3:35:00 PM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,0
5060037,1/4/2023 3:15:00 PM,P,0.00,3840.00,3795.00,45.00,2.60,P100,,,1/4/2023 3:33:00 PM,1x,5.20,False,Stop Loss,-2.60,-2.80,3.30,0.20,1.1,0
5048481,1/4/2023 3:30:00 PM,C,0.00,3845.00,3890.00,45.00,3.00,P100,,,,1x,,False,Expiration (ITM),-1.69,-1.89,3.30,0.20,0.6,0
5048821,1/4/2023 3:45:00 PM,C,0.00,3830.00,3875.00,45.00,2.75,P100,,,1/4/2023 3:49:00 PM,1x,5.50,False,Stop Loss,-2.75,-2.95,3.30,0.20,1.1,0
5069825,1/5/2023 9:33:00 AM,C,0.00,3860.00,3905.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,26
5070437,1/5/2023 9:45:00 AM,C,0.00,3845.00,3890.00,45.00,2.65,P100,,,1/5/2023 10:08:00 AM,1x,5.30,False,Stop Loss,-2.65,-2.85,3.30,0.20,1.1,0
5061973,1/5/2023 10:00:00 AM,P,0.00,3775.00,3730.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,26
5062269,1/5/2023 10:15:00 AM,P,0.00,3790.00,3745.00,45.00,2.65,P100,,,1/5/2023 11:01:00 AM,1x,5.30,False,Stop Loss,-2.65,-2.85,3.30,0.20,1.1,0
5071549,1/5/2023 10:30:00 AM,C,0.00,3845.00,3890.00,45.00,2.70,P100,,,,1x,,True,Expiration,2.70,2.65,1.65,0.05,0,0
5063117,1/5/2023 10:45:00 AM,P,0.00,3790.00,3745.00,45.00,2.45,P100,,,1/5/2023 10:59:00 AM,1x,4.90,False,Stop Loss,-2.45,-2.65,3.30,0.20,1.1,0
5072410,1/5/2023 11:00:00 AM,C,0.00,3835.00,3880.00,45.00,2.50,P100,,,1/5/2023 1:27:00 PM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,0
5063889,1/5/2023 11:15:00 AM,P,0.00,3785.00,3740.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,0
5073173,1/5/2023 11:30:00 AM,C,0.00,3835.00,3885.00,50.00,2.30,P100,,,1/5/2023 1:22:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5064661,1/5/2023 11:45:00 AM,P,0.00,3785.00,3740.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5073861,1/5/2023 12:00:00 PM,C,0.00,3830.00,3875.00,45.00,2.50,P100,,,1/5/2023 1:22:00 PM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,0
5065385,1/5/2023 12:15:00 PM,P,0.00,3785.00,3735.00,50.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5065581,1/5/2023 12:30:00 PM,P,0.00,3790.00,3745.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5074809,1/5/2023 12:45:00 PM,C,0.00,3830.00,3875.00,45.00,2.40,P100,,,1/5/2023 1:22:00 PM,1x,4.80,False,Stop Loss,-2.40,-2.60,3.30,0.20,1.1,0
5075405,1/5/2023 1:00:00 PM,C,0.00,3825.00,3870.00,45.00,3.10,P100,,,1/5/2023 1:22:00 PM,1x,6.20,False,Stop Loss,-3.10,-3.30,3.30,0.20,1.1,0
5075749,1/5/2023 1:15:00 PM,C,0.00,3825.00,3870.00,45.00,2.40,P100,,,1/5/2023 1:20:00 PM,1x,4.80,False,Stop Loss,-2.40,-2.60,3.30,0.20,1.1,0
5066953,1/5/2023 1:30:00 PM,P,0.00,3805.00,3760.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,0
5067421,1/5/2023 1:45:00 PM,P,0.00,3805.00,3760.00,45.00,2.45,P100,,,,1x,,True,Expiration,2.45,2.40,1.65,0.05,0,0
5077273,1/5/2023 2:00:00 PM,C,0.00,3835.00,3880.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5077581,1/5/2023 2:15:00 PM,C,0.00,3830.00,3875.00,45.00,2.45,P100,,,1/5/2023 2:37:00 PM,1x,4.90,False,Stop Loss,-2.45,-2.65,3.30,0.20,1.1,0
5078049,1/5/2023 2:30:00 PM,C,0.00,3825.00,3870.00,45.00,3.00,P100,,,1/5/2023 2:37:00 PM,1x,6.00,False,Stop Loss,-3.00,-3.20,3.30,0.20,1.1,0
5068413,1/5/2023 2:45:00 PM,P,0.00,3815.00,3770.00,45.00,2.70,P100,,,1/5/2023 3:10:00 PM,1x,5.40,False,Stop Loss,-2.70,-2.90,3.30,0.20,1.1,0
5078749,1/5/2023 3:00:00 PM,C,0.00,3830.00,3875.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5079329,1/5/2023 3:15:00 PM,C,0.00,3820.00,3865.00,45.00,3.35,P100,,,,1x,,True,Expiration,3.35,3.30,1.65,0.05,0,0
5079425,1/5/2023 3:30:00 PM,C,0.00,3815.00,3860.00,45.00,2.60,P100,,,,1x,,True,Expiration,2.60,2.55,1.65,0.05,0,0
5079953,1/5/2023 3:45:00 PM,C,0.00,3810.00,3855.00,45.00,3.00,P100,,,,1x,,True,Expiration,3.00,2.95,1.65,0.05,0,0
5091437,1/6/2023 9:33:00 AM,P,0.00,3780.00,3735.00,45.00,2.30,P100,,,1/6/2023 9:44:00 AM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,26
5080889,1/6/2023 9:45:00 AM,C,0.00,3865.00,3910.00,45.00,2.40,P100,,,1/6/2023 10:02:00 AM,1x,4.80,False,Stop Loss,-2.40,-2.60,3.30,0.20,1.1,26
5093001,1/6/2023 10:00:00 AM,P,0.00,3780.00,3735.00,45.00,2.50,P100,,,,1x,,True,Expiration,2.50,2.45,1.65,0.05,0,0
5093429,1/6/2023 10:15:00 AM,P,0.00,3800.00,3755.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5094070,1/6/2023 10:30:00 AM,P,0.00,3805.00,3750.00,55.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5094773,1/6/2023 10:45:00 AM,P,0.00,3825.00,3780.00,45.00,2.45,P100,,,,1x,,True,Expiration,2.45,2.40,1.65,0.05,0,0
5095605,1/6/2023 11:00:00 AM,P,0.00,3835.00,3790.00,45.00,2.35,P100,,,,1x,,True,Expiration,2.35,2.30,1.65,0.05,0,0
5096377,1/6/2023 11:15:00 AM,P,0.00,3840.00,3795.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5084821,1/6/2023 11:30:00 AM,C,0.00,3890.00,3935.00,45.00,3.05,P100,,,1/6/2023 11:53:00 AM,1x,6.10,False,Stop Loss,-3.05,-3.25,3.30,0.20,1.1,0
5097637,1/6/2023 11:45:00 AM,P,0.00,3840.00,3795.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5098097,1/6/2023 12:00:00 PM,P,0.00,3855.00,3810.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,0
5086197,1/6/2023 12:15:00 PM,C,0.00,3890.00,3935.00,45.00,3.20,P100,,,1/6/2023 2:12:00 PM,1x,6.40,False,Stop Loss,-3.20,-3.40,3.30,0.20,1.1,0
5086705,1/6/2023 12:30:00 PM,C,0.00,3890.00,3935.00,45.00,2.45,P100,,,1/6/2023 2:11:00 PM,1x,4.90,False,Stop Loss,-2.45,-2.65,3.30,0.20,1.1,0
5087233,1/6/2023 12:45:00 PM,C,0.00,3885.00,3930.00,45.00,2.70,P100,,,1/6/2023 1:40:00 PM,1x,5.40,False,Stop Loss,-2.70,-2.90,3.30,0.20,1.1,0
5087553,1/6/2023 1:00:00 PM,C,0.00,3885.00,3930.00,45.00,2.65,P100,,,1/6/2023 1:40:00 PM,1x,5.30,False,Stop Loss,-2.65,-2.85,3.30,0.20,1.1,0
5100953,1/6/2023 1:15:00 PM,P,0.00,3855.00,3810.00,45.00,2.40,P100,,,,1x,,True,Expiration,2.40,2.35,1.65,0.05,0,0
5101265,1/6/2023 1:30:00 PM,P,0.00,3860.00,3815.00,45.00,2.50,P100,,,,1x,,True,Expiration,2.50,2.45,1.65,0.05,0,0
5101797,1/6/2023 1:45:00 PM,P,0.00,3865.00,3820.00,45.00,2.60,P100,,,,1x,,True,Expiration,2.60,2.55,1.65,0.05,0,0
5102297,1/6/2023 2:00:00 PM,P,0.00,3870.00,3825.00,45.00,2.85,P100,,,,1x,,True,Expiration,2.85,2.80,1.65,0.05,0,0
5102793,1/6/2023 2:15:00 PM,P,0.00,3880.00,3835.00,45.00,3.25,P100,,,,1x,,True,Expiration,3.25,3.20,1.65,0.05,0,0
5103285,1/6/2023 2:30:00 PM,P,0.00,3880.00,3835.00,45.00,2.35,P100,,,,1x,,True,Expiration,2.35,2.30,1.65,0.05,0,0
5103549,1/6/2023 2:45:00 PM,P,0.00,3890.00,3845.00,45.00,2.95,P100,,,,1x,,True,Expiration,2.95,2.90,1.65,0.05,0,0
5103869,1/6/2023 3:00:00 PM,P,0.00,3895.00,3850.00,45.00,3.15,P100,,,,1x,,True,Expiration (ITM),1.42,1.22,3.30,0.20,0,0
5104293,1/6/2023 3:15:00 PM,P,0.00,3905.00,3855.00,50.00,4.10,P100,,,1/6/2023 3:21:00 PM,1x,8.20,False,Stop Loss,-4.10,-4.30,3.30,0.20,1.0,0
5091081,1/6/2023 3:30:00 PM,C,0.00,3900.00,3945.00,45.00,3.05,P100,,,,1x,,True,Expiration,3.05,3.00,1.65,0.05,0,0
5105057,1/6/2023 3:45:00 PM,P,0.00,3905.00,3860.00,45.00,3.95,P100,,,1/6/2023 3:50:00 PM,1x,7.90,False,Stop Loss,-3.95,-4.15,3.30,0.20,1.1,0
5105481,1/9/2023 9:33:00 AM,P,0.00,3880.00,3830.00,50.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,25
5105865,1/9/2023 9:45:00 AM,P,0.00,3885.00,3840.00,45.00,2.50,P100,,,,1x,,True,Expiration,2.50,2.45,1.65,0.05,0,0
5106289,1/9/2023 10:00:00 AM,P,0.00,3900.00,3855.00,45.00,2.70,P100,,,1/9/2023 3:14:00 PM,1x,5.40,False,Stop Loss,-2.70,-2.90,3.30,0.20,1.1,0
5106817,1/9/2023 10:15:00 AM,P,0.00,3895.00,3845.00,50.00,2.30,P100,,,1/9/2023 3:32:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5117577,1/9/2023 10:30:00 AM,C,0.00,3950.00,3995.00,45.00,2.80,P100,,,1/9/2023 10:38:00 AM,1x,5.60,False,Stop Loss,-2.80,-3.00,3.30,0.20,1.1,25
5107477,1/9/2023 10:45:00 AM,P,0.00,3920.00,3875.00,45.00,2.85,P100,,,1/9/2023 1:36:00 PM,1x,5.70,False,Stop Loss,-2.85,-3.05,3.30,0.20,1.1,0
5107829,1/9/2023 11:00:00 AM,P,0.00,3920.00,3875.00,45.00,2.70,P100,,,1/9/2023 1:36:00 PM,1x,5.40,False,Stop Loss,-2.70,-2.90,3.30,0.20,1.1,0
5108145,1/9/2023 11:15:00 AM,P,0.00,3930.00,3875.00,55.00,2.30,P100,,,1/9/2023 12:18:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5108793,1/9/2023 11:30:00 AM,P,0.00,3935.00,3890.00,45.00,3.15,P100,,,1/9/2023 12:18:00 PM,1x,6.30,False,Stop Loss,-3.15,-3.35,3.30,0.20,1.1,0
5119225,1/9/2023 11:45:00 AM,C,0.00,3960.00,4005.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,0
5109661,1/9/2023 12:00:00 PM,P,0.00,3935.00,3890.00,45.00,3.15,P100,,,1/9/2023 12:18:00 PM,1x,6.30,False,Stop Loss,-3.15,-3.35,3.30,0.20,1.1,0
5119781,1/9/2023 12:15:00 PM,C,0.00,3955.00,4000.00,45.00,3.35,P100,,,,1x,,True,Expiration,3.35,3.30,1.65,0.05,0,0
5120141,1/9/2023 12:30:00 PM,C,0.00,3955.00,4000.00,45.00,3.25,P100,,,,1x,,True,Expiration,3.25,3.20,1.65,0.05,0,0
5120489,1/9/2023 12:45:00 PM,C,0.00,3950.00,3995.00,45.00,2.35,P100,,,,1x,,True,Expiration,2.35,2.30,1.65,0.05,0,0
5111605,1/9/2023 1:00:00 PM,P,0.00,3920.00,3875.00,45.00,2.35,P100,,,1/9/2023 1:35:00 PM,1x,4.70,False,Stop Loss,-2.35,-2.55,3.30,0.20,1.1,0
5120977,1/9/2023 1:15:00 PM,C,0.00,3945.00,3990.00,45.00,2.80,P100,,,,1x,,True,Expiration,2.80,2.75,1.65,0.05,0,0
5121269,1/9/2023 1:30:00 PM,C,0.00,3945.00,3990.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,0
5121425,1/9/2023 1:45:00 PM,C,0.00,3930.00,3975.00,45.00,3.30,P100,,,,1x,,True,Expiration,3.30,3.25,1.65,0.05,0,0
5121737,1/9/2023 2:00:00 PM,C,0.00,3930.00,3975.00,45.00,2.85,P100,,,,1x,,True,Expiration,2.85,2.80,1.65,0.05,0,0
5121993,1/9/2023 2:15:00 PM,C,0.00,3925.00,3970.00,45.00,3.55,P100,,,,1x,,True,Expiration,3.55,3.50,1.65,0.05,0,0
5113849,1/9/2023 2:30:00 PM,P,0.00,3910.00,3865.00,45.00,2.75,P100,,,1/9/2023 2:56:00 PM,1x,5.50,False,Stop Loss,-2.75,-2.95,3.30,0.20,1.1,0
5122637,1/9/2023 2:45:00 PM,C,0.00,3920.00,3965.00,45.00,3.25,P100,,,,1x,,True,Expiration,3.25,3.20,1.65,0.05,0,0
5123085,1/9/2023 3:00:00 PM,C,0.00,3910.00,3955.00,45.00,2.35,P100,,,,1x,,True,Expiration,2.35,2.30,1.65,0.05,0,0
5123301,1/9/2023 3:15:00 PM,C,0.00,3900.00,3945.00,45.00,3.00,P100,,,1/9/2023 3:21:00 PM,1x,6.00,False,Stop Loss,-3.00,-3.20,3.30,0.20,1.1,0
5123713,1/9/2023 3:30:00 PM,C,0.00,3895.00,3940.00,45.00,4.60,P100,,,,1x,,True,Expiration,4.60,4.55,1.65,0.05,0,0
5124389,1/10/2023 9:33:00 AM,C,0.00,3940.00,3985.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,26
5134113,1/10/2023 9:45:00 AM,P,0.00,3855.00,3810.00,45.00,2.60,P100,,,,1x,,True,Expiration,2.60,2.55,1.65,0.05,0,26
5134453,1/10/2023 10:00:00 AM,P,0.00,3860.00,3815.00,45.00,2.40,P100,,,1/10/2023 10:33:00 AM,1x,4.80,False,Stop Loss,-2.40,-2.60,3.30,0.20,1.1,0
5134901,1/10/2023 10:15:00 AM,P,0.00,3875.00,3830.00,45.00,2.65,P100,,,1/10/2023 10:30:00 AM,1x,5.30,False,Stop Loss,-2.65,-2.85,3.30,0.20,1.1,0
5126409,1/10/2023 10:30:00 AM,C,0.00,3925.00,3970.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,0
5127009,1/10/2023 10:45:00 AM,C,0.00,3905.00,3950.00,45.00,2.90,P100,,,1/10/2023 10:52:00 AM,1x,5.80,False,Stop Loss,-2.90,-3.10,3.30,0.20,1.1,0
5135913,1/10/2023 11:00:00 AM,P,0.00,3870.00,3825.00,45.00,2.75,P100,,,,1x,,True,Expiration,2.75,2.70,1.65,0.05,0,0
5136269,1/10/2023 11:15:00 AM,P,0.00,3870.00,3825.00,45.00,2.55,P100,,,,1x,,True,Expiration,2.55,2.50,1.65,0.05,0,0
5128285,1/10/2023 11:30:00 AM,C,0.00,3915.00,3960.00,45.00,2.90,P100,,,1/10/2023 2:20:00 PM,1x,5.80,False,Stop Loss,-2.90,-3.10,3.30,0.20,1.1,0
5128509,1/10/2023 11:45:00 AM,C,0.00,3910.00,3955.00,45.00,3.10,P100,,,1/10/2023 12:39:00 PM,1x,6.20,False,Stop Loss,-3.10,-3.30,3.30,0.20,1.1,0
5137677,1/10/2023 12:00:00 PM,P,0.00,3875.00,3830.00,45.00,3.05,P100,,,,1x,,True,Expiration,3.05,3.00,1.65,0.05,0,0
5138373,1/10/2023 12:15:00 PM,P,0.00,3875.00,3830.00,45.00,2.40,P100,,,,1x,,True,Expiration,2.40,2.35,1.65,0.05,0,0
5138645,1/10/2023 12:30:00 PM,P,0.00,3875.00,3830.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,0
5139357,1/10/2023 12:45:00 PM,P,0.00,3880.00,3835.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5139537,1/10/2023 1:00:00 PM,P,0.00,3885.00,3840.00,45.00,2.70,P100,,,,1x,,True,Expiration,2.70,2.65,1.65,0.05,0,0
5140229,1/10/2023 1:15:00 PM,P,0.00,3890.00,3845.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,0
5140417,1/10/2023 1:30:00 PM,P,0.00,3890.00,3845.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5141073,1/10/2023 1:45:00 PM,P,0.00,3895.00,3850.00,45.00,3.05,P100,,,,1x,,True,Expiration,3.05,3.00,1.65,0.05,0,0
5141253,1/10/2023 2:00:00 PM,P,0.00,3900.00,3855.00,45.00,2.70,P100,,,,1x,,True,Expiration,2.70,2.65,1.65,0.05,0,0
5141869,1/10/2023 2:15:00 PM,P,0.00,3905.00,3860.00,45.00,3.50,P100,,,,1x,,True,Expiration,3.50,3.45,1.65,0.05,0,0
